SRR7698626paired.trimmed	Maculipinnis
SRR7698631paired.trimmed	M_atromaculatus
SRR7698668paired.trimmed	Salvini
SRR7698711paired.trimmed	Salvini
SRR7698716paired.trimmed	Salvini
SRR7698724paired.trimmed	Meeki
SRR7698728paired.trimmed	Salvini
SRR7698730paired.trimmed	Helleri
SRR7698731paired.trimmed	Helleri
SRR7698732paired.trimmed	Helleri
SRR7698733paired.trimmed	Helleri
SRR7698734paired.trimmed	Maculipinnis
SRR7698735paired.trimmed	Helleri
SRR7698736paired.trimmed	Callolepis
SRR7698737paired.trimmed	Callolepis
SRR7698738paired.trimmed	Socolofi
SRR7698739paired.trimmed	Meeki
SRR7698741paired.trimmed	Meeki
SRR7698750paired.trimmed	Maculipinnis
SRR7698751paired.trimmed	Helleri
SRR7698756paired.trimmed	Pasionis
SRR7698757paired.trimmed	Pasionis
SRR7698759paired.trimmed	Socolofi
SRR7698768paired.trimmed	M_ornatus
SRR7698770paired.trimmed	M_festae
SRR7698787paired.trimmed	Aureus
SRR7698803paired.trimmed	Salvini
SRR7698808paired.trimmed	Maculipinnis
