1	maculipinnisPapaloapan
2	maculipinnisPapaloapan
3	maculipinnisPapaloapan
4	maculipinnisPapaloapan
5	maculipinnisPapaloapan
6	maculipinnisPapaloapan
7	maculipinnisPapaloapan
8	maculipinnisPapaloapan
9	maculipinnisPapaloapan
10	maculipinnisPapaloapan
11	maculipinnisPapaloapan
12	maculipinnisPapaloapan
13	maculipinnis
14	maculipinnis
15	callolepis
16	callolepis
17	socolofi
18	socolofi
19	socolofi
20	helleri
21	helleri
22	helleri
23	helleri
24	helleri
25	helleri
26	helleri
27	outgroup01
28	outgroup02
29	outgroup02
30	outgroup02
31	outgroup02
32	callolepis
33	callolepis
34	passionis
35	passionis
36	helleri
37	affinis
38	passionis
39	maculipinnis
40	maculipinnis
41	maculipinnis
42	maculipinnis
43	maculipinnis
44	maculipinnis
45	maculipinnis
46	maculipinnis
47	maculipinnis
48	maculipinnis
49	maculipinnis
50	maculipinnis
51	maculipinnis
52	maculipinnis
53	maculipinnis
54	maculipinnis
55	maculipinnis
56	affinis
57	affinis
58	affinis
59	affinis
60	affinis
61	affinis
62	affinis
63	affinis
64	affinis
65	affinis
66	affinis
67	affinis
68	affinis
69	affinis
70	affinis
71	aureus
72	aureus
73	aureus
74	aureus
75	helleri
76	helleri
77	helleri
78	helleri
79	helleri
80	socolofi
81	socolofi
82	socolofi
83	socolofi
84	ellioti
85	ellioti
86	affinis
87	aureus
88	helleri
89	maculipinnis
90	meeki
91	passionis
92	outgroup03
93	outgroup03
94	outgroup03
95	outgroup03
96	outgroup03
97	outgroup03
98	outgroup03
99	helleri
100	helleriCacahuano
101	helleriCacahuano
102	meeki
103	meeki
104	panchovillae
105	panchovillae
106	maculipinnis
107	maculipinnis
108	panchovillae
109	panchovillae
110	panchovillae
111	affinis
112	affinis
113	affinis
114	affinis
115	affinis
116	affinis
117	affinis
118	affinis
119	affinis
120	affinis
121	panchovillae
122	affinis
123	helleri
124	helleri
125	helleri
126	panchovillae
127	helleriCacahuano
128	helleriCacahuano
129	helleri
130	helleri
131	helleriCacahuano
132	helleriCacahuano
133	helleri
134	helleri
135	helleri
136	helleri
137	helleri
138	helleri
139	helleri
140	helleri
141	helleri
142	passionis
143	passionis
144	passionis
145	passionis
146	affinis
147	affinis
148	affinis
149	affinis
150	affinis
151	affinis
152	affinis
153	helleri
154	helleri
155	helleri
156	helleri
157	helleri
158	helleri
159	helleri
160	helleri
161	helleri
162	helleri
163	helleri
164	helleri
165	helleri
166	helleri
167	helleri
168	helleri
169	helleri
170	helleri
171	helleri
172	helleri
173	helleri
174	helleri
175	helleri
176	helleri
177	helleri
178	helleri
179	helleri
180	helleri
181	helleri
182	helleri
183	helleri
184	helleri
185	helleri
186	helleri
187	helleri
188	helleri
189	helleri
190	helleri
191	helleri
192	helleri
193	helleri
194	helleri
195	affinis
196	affinis
197	affinis
198	helleri
199	helleri
200	affinis
201	affinis
202	affinis
203	affinis
204	affinis
205	passionis
206	affinis
207	passionis
208	passionis
209	passionis
210	passionis
